address,symbol,name,decimals,total_supply,block_number
0x1130547436810db920fa73681c946fea15e9b758,btc,bitcoin,8,,
0xd04fa77db62e9f18130db565fb5857b66bc5e0bb,P,PPP,2,,
0x18e9398595a9ee1190ed9fc0a1afc3c911010d7a,,Widgets,0,,
0xeebafcdc08cc06c0322eb01b811527fdfb08c5ba,📡,RadioCoin,0,,
0xd917e598a6931d8d393911f2c825d8c50c6a446b,%,MingCoin,1,,
0xf4a5fbd6deb3c10320b455cb10f10929e7c72ab6,%,T Shares,2,,
0xcb599a6f65d826f7a96ebe884a599f17fffc989b,WL,ShaopingCoin,8,,
0x2df8f1448e50fc36969048beea636d5a7cc71c64,SMSH,SmashCoin,6,,
0xa9d4e6da9e2c780ccb01061a7736a162d7b02d6c,δ,Djannons,2,,
0x36fa1ac86209cfa7b9c46764ff7f03bf8e80907a,BIT,Bits,8,,
0x9b743992d6a615f686647480b1c1c0c7c024cdf3,Þ,Markoin,2,,
0xb31142ca6b76d8c8a725d32bd2b6088754e5b30e,o,Solo Coin,0,,
0xcfc00378ca44da2a0c465367f1f104a9d9e7a83c,%,100% Coin,4,,
0x56a46edc89a0f0e04687cef43229afb43560745c,!,leenarium,4,,
0xcb10bb1d302812c9d9d43d4674dbae93cb33cd2e,V,VeganCoin,2,,
0x0e7db7c15dec9194c7bd2d848d99651c8a1cdfcf,%,My DAO Shares,2,,
0x8cb66fa82b4faf5b71d8d6c3ba43a775ab43f76b,CFR,CryptoFR Coin,8,,
0x0d5781131e377e20b7b8ee5f0231ff8f91b4beb1,~,Food Shares,2,,
0x6416ea38216f6553f3353ac184b00bf6b1b3eb66,MTC,MATCOIN,2,,
0xefd98ff04917ec82822eb5c9576305253bad1a7e,%,AyeAyeCoin,0,,
